"Geslacht";"Leeftijd";"Perioden";"Regio's";"Bevolking (aantal)";"Onderwijsniveau 5 categorieën/11 Basisonderwijs (%)";"Onderwijsniveau 5 categorieën/12 Vmbo, havo-, vwo-onderbouw, mbo1 (%)";"Onderwijsniveau 5 categorieën/21 Havo, vwo, mbo2-4 (%)";"Onderwijsniveau 5 categorieën/31 Hbo-, wo-bachelor (%)";"Onderwijsniveau 5 categorieën/32 Hbo-, wo-master, doctor (%)"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"Nederland";12849400;10,2;20,6;41,4;17,8;10
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"Noord-Nederland (LD)";1299400;9,6;20,8;45,4;17,2;7
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"Oost-Nederland (LD)";2688700;10;21,6;43,1;17,5;7,9
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"West-Nederland (LD)";6100800;10,3;19,5;39,7;18,2;12,4
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"Zuid-Nederland (LD)";2760500;10,4;22,1;41,7;17,6;8,2
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"Groningen (PV)";452500;9,2;18,5;45;18,2;9,2
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"Fryslân (PV)";482600;9,8;21,9;45,9;16,8;5,6
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"Drenthe (PV)";364300;9,8;22,1;45,3;16,6;6,2
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"Overijssel (PV)";851500;9,9;21,4;44,3;17,5;7
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"Flevoland (PV)";304600;10,4;21,4;45;16,9;6,3
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"Gelderland (PV)";1532500;9,9;21,7;42;17,7;8,7
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"Utrecht (PV)";957000;8,8;17,5;37,5;20,4;15,8
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"Noord-Holland (PV)";2125100;9,7;18,4;38,9;19;14
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"Zuid-Holland (PV)";2734700;11,4;20,6;40,3;17;10,6
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"Zeeland (PV)";284000;9,3;23,8;46,1;15,5;5,3
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"Noord-Brabant (PV)";1900100;9,9;21,9;41,6;18;8,6
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2015";"Limburg (PV)";860500;11,5;22,7;42,1;16,6;7,2
