"Geslacht";"Leeftijd";"Perioden";"Regio's";"Bevolking (aantal)";"Onderwijsniveau 5 categorieën/11 Basisonderwijs (%)";"Onderwijsniveau 5 categorieën/12 Vmbo, havo-, vwo-onderbouw, mbo1 (%)";"Onderwijsniveau 5 categorieën/21 Havo, vwo, mbo2-4 (%)";"Onderwijsniveau 5 categorieën/31 Hbo-, wo-bachelor (%)";"Onderwijsniveau 5 categorieën/32 Hbo-, wo-master, doctor (%)"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"Nederland";13028400;9,7;19,9;41,7;18,3;10,3
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"Noord-Nederland (LD)";1305200;9;20,5;45,7;17,6;7,2
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"Oost-Nederland (LD)";2728300;9,5;20,8;43,6;18;8,1
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"West-Nederland (LD)";6210100;9,8;18,8;39,8;18,8;12,8
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"Zuid-Nederland (LD)";2784900;10,1;21,2;42,1;18;8,5
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"Groningen (PV)";453100;8,7;18,4;45,1;18,3;9,6
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"Fryslân (PV)";484900;9,1;21,7;46,1;17,5;5,6
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"Drenthe (PV)";367200;9,2;21,6;46;16,8;6,4
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"Overijssel (PV)";860800;9,4;20,5;44,8;18,2;7,2
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"Flevoland (PV)";312000;9,9;20,9;45,7;17,1;6,5
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"Gelderland (PV)";1555400;9,4;21;42,5;18,2;9
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"Utrecht (PV)";976700;8,3;16,9;37,5;20,9;16,4
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"Noord-Holland (PV)";2166900;9,3;17,7;38,8;19,8;14,4
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"Zuid-Holland (PV)";2781600;10,9;19,8;40,7;17,6;11
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"Zeeland (PV)";284900;8,6;23,2;47;15,9;5,3
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"Noord-Brabant (PV)";1924700;9,7;21;41,9;18,5;9
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2017";"Limburg (PV)";860300;11;21,8;42,6;17,1;7,5
