"Geslacht";"Leeftijd";"Perioden";"Regio's";"Bevolking (aantal)";"Onderwijsniveau 5 categorieën/11 Basisonderwijs (%)";"Onderwijsniveau 5 categorieën/12 Vmbo, havo-, vwo-onderbouw, mbo1 (%)";"Onderwijsniveau 5 categorieën/21 Havo, vwo, mbo2-4 (%)";"Onderwijsniveau 5 categorieën/31 Hbo-, wo-bachelor (%)";"Onderwijsniveau 5 categorieën/32 Hbo-, wo-master, doctor (%)"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"Nederland";13262700;9;18,4;41,5;19,7;11,3
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"Noord-Nederland (LD)";1311600;8,2;19,1;46,1;18,8;7,8
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"Oost-Nederland (LD)";2785600;8,7;19,4;43,6;19,3;8,9
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"West-Nederland (LD)";6351700;9,1;17,4;39,4;20,2;14
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"Zuid-Nederland (LD)";2813700;9,3;19,5;42,3;19,6;9,3
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"Groningen (PV)";454900;7,9;17,1;44,8;19,7;10,5
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"Fryslân (PV)";487000;8,2;20,2;46,9;18,7;6
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"Drenthe (PV)";369700;8,5;19,9;46,8;17,9;7
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"Overijssel (PV)";875800;8,8;19,1;45;19,5;7,7
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"Flevoland (PV)";325600;9,1;19,7;45,5;18,4;7,2
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"Gelderland (PV)";1584200;8,6;19,5;42,5;19,4;9,9
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"Utrecht (PV)";1028600;7,7;15,8;36,9;22,1;17,4
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"Noord-Holland (PV)";2214900;8,6;16,4;38;21,2;15,7
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"Zuid-Holland (PV)";2822300;10,1;18,3;40,5;19;12,1
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"Zeeland (PV)";285800;8,1;21,5;47,7;16,9;5,9
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"Noord-Brabant (PV)";1959200;8,8;19,3;42;20,1;9,8
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2020";"Limburg (PV)";854500;10,4;20,1;43;18,4;8,2
